playerID,daysActive,BatG,BatBA,BatHR,FieldG,PitchW,PitchL,allStarCount,Cy_Young_Award,Gold_Glove_Award,Silver_Slugger,MVP,avgSalary,inducted
tudorjo01,4046,300,0.147132,0,292,122,76,0,0,0,0,0,876250,0
turneji01,3058,240,0.216958,1,233,69,61,1,0,0,0,0,0,0
turnete01,6609,1659,0.253167,8,1631,0,0,0,0,0,0,0,0,0
uhlege01,6355,724,0.288971,9,515,200,166,0,0,0,0,0,0,0
unserde01,5170,1807,0.258132,87,1582,0,0,0,0,0,0,0,0,0
valenel01,3682,894,0.278269,123,856,0,0,1,0,1,0,0,0,0
valenfe01,6146,483,0.196653,10,464,178,154,6,1,1,2,0,1237500,0
valoel01,7679,1806,0.282362,58,1329,0,0,0,0,0,0,0,0,0
vanceda01,7425,443,0.15036,7,443,197,140,0,0,0,0,1,0,1
vandejo01,5128,383,0.151825,1,347,119,121,4,0,0,0,0,0,0
vanhage01,5934,1984,0.315671,69,2009,40,31,0,0,0,0,0,0,0
vanslan01,4489,1689,0.27207,165,1674,0,0,3,0,5,2,0,1891818,0
varitja01,5114,1609,0.255491,204,1550,0,0,3,0,1,1,0,4794609,0
vaughar01,6002,1820,0.317633,96,1743,0,0,9,0,0,0,0,0,1
vaughgr01,5082,1745,0.241536,358,1275,0,0,4,0,0,1,0,3955278,0
vaughmo01,4327,1519,0.292468,330,1312,0,0,3,0,0,1,1,7171786,0
veachbo01,4774,1823,0.309899,64,1741,0,0,0,0,0,0,0,0,0
vealebo01,4528,400,0.114286,0,398,120,95,2,0,0,0,0,0,0
venturo01,5499,2116,0.265303,297,2088,0,0,2,0,6,0,0,4475667,0
vernomi01,7752,2409,0.285763,172,2241,0,0,7,0,0,0,0,0,0
violafr01,5105,426,0.139785,0,426,179,151,3,1,0,0,1,2301727,0
virdobi01,4859,1590,0.266767,91,1549,0,0,0,0,1,0,0,0,0
vuckope01,4078,292,0.158654,0,292,94,71,0,1,0,0,0,540000,0
wadderu01,4709,410,0.161351,4,408,193,143,0,0,0,0,0,0,1
wagnebi02,5499,868,0.1,0,867,48,41,7,0,0,0,0,5805188,0
wagneho01,7364,2807,0.327163,101,2790,0,0,0,0,0,0,0,0,1
wakefti01,6995,648,0.111111,1,645,205,187,1,0,0,0,0,3110833,0
walberu01,5270,552,0.178414,4,549,156,142,0,0,0,0,0,0,0
walkedi02,6722,1917,0.305674,106,1751,0,0,5,0,0,0,0,0,0
walkeha01,5441,820,0.296241,10,727,0,0,2,0,0,0,0,0,0
walkela01,5891,2016,0.311546,390,1915,0,0,5,0,7,3,1,7357562,0
walketo04,3905,1303,0.288971,112,1166,0,0,0,0,0,0,0,1232000,0
wallabo01,8752,2383,0.267928,34,2368,24,22,0,0,0,0,0,0,1
wallati01,5867,2223,0.256798,260,2201,0,0,5,0,3,2,0,1351892,0
walshed01,4875,461,0.192308,3,438,197,126,0,0,0,0,0,0,1
waltebu01,6884,719,0.242409,24,638,200,162,6,0,0,0,1,0,0
wambsbi01,4437,1498,0.258978,7,1444,0,0,0,0,0,0,0,0,0
wanerll01,6732,1997,0.316553,27,1825,0,0,1,0,0,0,0,0,1
wanerpa01,6953,2553,0.333228,113,2365,0,0,4,0,0,0,1,0,1
wardjo01,5920,1842,0.276193,26,1870,164,102,0,0,0,0,0,0,1
warnelo01,5643,464,0.222451,4,450,194,122,5,0,0,0,0,0,0
washicl01,5827,1927,0.277908,164,1698,0,0,2,0,0,0,0,693333,0
