playerID,BatG,BatAB,BatR,BatH,Bat2B,Bat3B,BatHR,BatRBI,BatSB,BatCS,BatBB,BatSO,BatIBB,BatHBP,BatSH,BatSF,BatGIDP,FieldG,FieldGS,FieldInnOuts,FieldPO,FieldA,FieldE,FieldDP,FieldPB,FieldWP,FieldSB,FieldCS,FieldZR,PitchW,PitchL,PitchG,PitchGS,PitchCG,PitchSHO,PitchSV,PitchIPouts,PitchH,PitchER,PitchHR,PitchBB,PitchSO,PitchBAOpp,PitchERA,PitchIBB,PitchWP,PitchHBP,PitchBK,PitchBFP,PitchGF,PitchR,PitchSH,PitchSF,PitchGIDP,allStarCount,AllStar_MVP,Babe_Ruth_Award,Cy_Young_Award,Gold_Glove_Award,DH_Award,Pitching_Crown,Relief_Award,ROY_Award,Silver_Slugger,Batting_Crown,World_Series_MVP,AL_MVP,NL_MVP,inducted
willibi01,2488,9350,1410,2711,434,88,426,1475,90,49,1045,1046,182,43,8,73,200,2184,2161,57344,4367,219,113,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1
willicy01,2002,6780,1024,1981,306,74,251,1005,115,82,690,721,0,86,164,0,0,1818,0,0,4180,226,123,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
willidi02,1023,2959,358,768,157,12,70,331,12,21,227,392,12,12,42,25,97,921,649,17630,2188,544,51,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
willijo99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
willike01,1397,4862,860,1552,285,77,196,913,154,106,566,287,0,28,160,0,0,1301,0,0,2956,167,137,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
willima04,1866,7000,997,1878,338,35,378,1218,53,35,469,1363,86,55,9,62,182,1877,1782,47043,1525,3662,191,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,4,0,0,0,0,0
willimi02,619,16,2,3,0,0,1,4,0,0,1,4,0,0,0,0,1,619,3,2074,14,75,17,4,0,0,0,0,0,45,58,619,3,0,0,192,2074,537,280,49,544,660,2.59,52.79,39,44,52,24,3119,419,317,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
willine01,1201,4553,809,1159,228,85,64,667,88,0,506,532,0,23,0,0,0,1225,0,0,1589,3095,684,257,43,0,0,0,0,1,1,12,1,1,0,3,105,38,13,1,5,7,1.8,44,0,2,0,0,160,9,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
willite01,2292,7706,1798,2654,525,71,521,1839,24,17,2021,709,86,39,5,20,197,2152,717,17062,4158,142,113,30,0,0,0,0,0,0,0,1,0,0,0,0,6,3,1,0,0,1,0.33,4.5,0,0,0,0,9,1,1,0,0,0,19,0,0,0,0,0,0,0,0,0,2,0,2,0,1
willivi01,531,1493,107,248,19,4,1,84,3,0,81,8,0,8,41,0,0,525,0,0,389,1131,72,30,0,0,0,0,0,249,205,513,471,388,50,11,11988,3621,1167,66,1212,1651,3.12,34.86,0,95,157,6,12535,41,1628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
williwo02,443,540,52,105,25,1,4,43,1,1,17,183,0,5,45,10,3,424,330,6649,159,252,18,23,0,0,0,0,0,132,116,424,330,10,2,0,6649,2217,1031,309,711,1480,3.4880000000000004,65.01,40,58,72,6,9475,34,1096,62,37,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
willsma01,1942,7588,1067,2134,177,71,20,458,586,208,552,684,26,16,119,29,92,1918,1832,48845,2786,5512,331,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,2,0,0,0,0,0,0,0,0,1,0
wilsoha01,1348,4760,884,1461,266,67,244,1063,52,5,674,713,0,20,102,0,15,1262,0,0,2821,116,108,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
wilsoji01,1525,4778,580,1358,252,32,32,621,86,9,356,280,0,18,101,0,37,1367,0,0,4972,935,142,158,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
