playerID,daysActive,BatG,BatBA,BatHR,FieldG,FieldPercent,PitchW,PitchL,PitchKBB,allStarCount,Cy_Young_Award,Gold_Glove_Award,Silver_Slugger,MVP,avgSalary,inducted
pettiga01,3650,1183,0.235602,1.75,1128,0.984175,0,0,0,0,0,5,0,0,513889,0
pettija01,20,4,0,0,4,1,0,4,1.25,0,0,0,0,0,0,0
pettijo01,1179,188,0.203488,0.25,180,0.847945,0,0,0,0,0,0,0,0,0,0
pettijo02,361,20,0.0967742,0,20,0.97915,5,5,1.8684,0,0,0,0,0,500000,0
pettile01,782,44,0.08,0,44,0.9516,8,6,0.38795,0,0,0,0,0,0,0
pettine01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pettipa01,869,13,0.222222,0,12,0.5,1,2,0.35,0,0,0,0,0,0,0
pettyad01,2631,19,0,0,19,1,1,7,1.2024,0,0,0,0,0,217500,0
pettych01,1844,34,0.231579,0.25,34,0.859525,10,15,0.41295,0,0,0,0,0,0,0
pettyje01,3454,207,0.128329,0,207,0.9525,67,78,1.3684,0,0,0,0,0,0,0
peveyma01,44,13,0.219512,0,12,0.4924,0,0,0,0,0,0,0,0,0,0
pezolla01,65,23,0.225352,0,21,0.41335,0,0,0,0,0,0,0,0,0,0
pezzupr01,363,42,0.25,0,42,0.45835,3,5,0.26665,0,0,0,0,0,0,0
pfeffbi01,2368,147,0.204334,0.333333,132,0.8872,31,39,0.915133,0,0,0,0,0,0,0
pfefffr01,5523,1670,0.25492,5.52941,1685,0.890962,2,1,0.40625,0,0,0,0,0,0,0
pfeffje01,4912,352,0.20595,0,352,0.915865,158,112,1.20277,0,0,0,0,0,0,0
pfeilbo01,802,106,0.241993,1,87,0.651011,0,0,0,0,0,0,0,0,0,0
pfiesja01,2801,149,0.103152,0,149,0.929088,71,44,1.47156,0,0,0,0,0,0,0
pfistda01,1056,78,0.162162,0,65,0.683375,6,19,1.40863,0,0,0,0,0,0,0
pfundle01,75,15,0.181818,0,15,0.9,3,2,0.7714,0,0,0,0,0,0,0
phamth01,754,136,0.245223,4.66667,112,1,0,0,0,0,0,0,0,0,510000,0
phebubi01,617,13,0,0,13,0.6111,3,2,0.595233,0,0,0,0,0,0,0
phegljo01,1092,175,0.231618,4.25,170,0.6623,0,0,0,0,0,0,0,0,511250,0
phelaar01,1926,402,0.236089,1.6,378,0.892679,0,0,0,0,0,0,0,0,0,0
phelada01,23,8,0.25,0,8,0.9753,0,0,0,0,0,0,0,0,0,0
pheladi01,534,107,0.241706,1.33333,112,0.68972,0,0,0,0,0,0,0,0,0,0
phelpba01,4028,726,0.310345,4.90909,594,0.979508,0,0,0,3,0,0,0,0,0,0
phelpco01,1172,56,0.155172,0.5,30,0.75332,0,0,0,0,0,0,0,0,0,0
phelpda01,1637,174,0.117647,0,174,0.91608,26,28,2.42334,0,0,0,0,0,1238463,0
phelped01,3999,633,0.251092,0.25,540,0.970712,0,0,0,0,0,0,0,0,0,0
phelpjo01,3029,465,0.272597,6.4,103,0.916131,0,0,0,0,0,0,0,0,515500,0
phelpke01,3640,761,0.238943,8.78571,131,0.835869,0,0,0,0,0,0,0,0,477500,0
phelpne01,1867,12,0.108696,0,13,0.706457,0,0,0,0,0,0,0,0,0,0
phelpra01,2258,126,0.148325,0.2,126,0.94596,33,35,0.84814,0,0,0,0,0,0,0
phelpto01,829,75,0.0588235,0,75,1,4,5,1.78987,0,0,0,0,0,322500,0
phelptr01,1241,79,0,0,79,0.9804,3,5,1.52777,0,0,0,0,0,218000,0
phillad01,2813,649,0.246933,5.9,593,0.98591,0,0,0,0,0,0,0,0,0,0
phillan01,1469,259,0.249551,2,218,0.813065,0,0,0,0,0,0,0,0,325175,0
phillbi01,3454,1038,0.26557,1.7,1046,0.958285,0,0,0,0,0,0,0,0,0,0
phillbi02,4789,196,0.223853,0,182,0.7357,70,76,1.03936,0,0,0,0,0,0,0
phillbr01,5128,1749,0.274657,13.1333,1720,0.912389,0,0,0,3,0,4,1,0,7806824,0
phillbu01,48,14,0.461538,1,14,1,0,0,0.5,0,0,0,0,0,0,0
phillbu02,3447,1062,0.254728,6.2,978,0.82029,0,0,0,0,0,0,0,0,0,0
phillda01,7639,1904,0.270013,3.5,1600,0.79607,0,0,0,0,0,0,0,0,0,0
phillda02,1526,170,0.250435,0.333333,177,0.949467,0,0,0,0,0,0,0,0,0,0
phillde01,4496,377,0.188776,0.230769,375,0.954733,189,109,2.57337,0,0,0,0,0,0,1
philldi01,1624,263,0.228571,3,148,0.998371,0,0,0,0,0,0,0,0,0,0
philled01,4165,312,0.23671,2.33333,298,0.9861,0,0,0,0,0,0,0,0,0,0
philled02,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
philled03,142,18,0,0,18,1,0,2,2.3,0,0,0,0,0,0,0
phillhe01,25,6,0,0,6,1,1,1,0.5,0,0,0,0,0,0,0
phillja01,18,2,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0
phillja02,3534,343,0.282511,0.9,278,0.878038,0,0,2,0,0,0,0,0,0,0
phillja03,1510,17,0,0,17,1,1,4,1.10557,0,0,0,0,0,200000,0
phillja04,2128,465,0.248915,4.28571,432,0.993558,0,0,0,0,0,0,0,0,364250,0
philljr01,2221,242,0.187625,2.875,166,0.983538,0,0,0,0,0,0,0,0,143800,0
phillky01,678,41,0.191489,1,29,0.97415,0,0,0,0,0,0,0,0,0,0
phillma01,2276,198,0.239078,0,198,0.8838,0,0,0,0,0,0,0,0,0,0
phillmi01,3710,712,0.239674,0.785714,651,0.882231,0,0,0,0,0,0,0,0,0,0
phillpa01,2215,91,0.262443,0.428571,80,0.9947,0,0,0,0,0,0,0,0,0,0
phillre01,792,29,0.288889,0,29,0.9737,4,4,0.43465,0,0,0,0,0,0,0
phillta01,2646,147,0.0530973,0,147,0.969757,16,22,1.05221,0,0,0,0,0,0,0
phillto01,2492,45,0.186047,0,45,0.780775,8,12,0.6191,0,0,0,0,0,0,0
phillto02,6306,2161,0.26559,8,2290,0.925998,0,0,0,0,0,0,0,0,1450397,1
phillza01,1857,27,0,0,27,0.5,0,1,3,0,0,0,0,0,0,0
phippde01,27,8,0.3,1,2,1,0,0,0,0,0,0,0,0,0,0
phoebto01,2209,202,0.170149,0.25,201,0.97825,56,52,1.58026,0,0,0,0,0,0,0
phoenst01,372,3,0,0,3,0,0,0,1.25,0,0,0,0,0,0,0
phylebi01,2919,61,0.175824,0,59,0.71468,10,19,0.719867,0,0,0,0,0,0,0
piattad01,1247,212,0.247601,3.2,174,0.987844,0,0,0,0,0,0,0,0,269750,0
piattdo01,117,21,0,0,21,1,0,0,1.7059,0,0,0,0,0,0,0
piattwi01,1926,187,0.239411,0,182,0.851471,86,79,1.1636,0,0,0,0,0,0,0
piazzmi01,5507,1912,0.30777,23.7222,1700,0.98892,0,0,0,12,0,0,10,1,8011733,1
piccini01,142,36,0.134831,0,34,0.8988,0,0,0,0,0,0,0,0,0,0
picciro01,3102,731,0.234029,1.7,710,0.940159,0,0,0,0,0,0,0,0,100000,0
pichahi01,3668,350,0,0,350,0.86427,50,44,1.29309,0,0,0,0,0,1019833,0
pichero01,2310,136,0.0238095,0,134,0.981483,10,16,1.25852,0,0,0,0,0,0,0
picinva01,6243,1037,0.258255,1.36842,937,0.955875,0,0,0,0,0,0,0,0,0,0
pickch01,2154,367,0.260563,0.428571,350,0.917308,0,0,0,0,0,0,0,0,0,0
pickeca01,2413,95,0.223485,2.33333,33,0.9822,0,0,0,0,0,0,0,0,261750,0
pickech01,3,2,0,0,2,0.6667,0,0,1,0,0,0,0,0,0,0
