playerID,BatG,BatAB,BatR,BatH,Bat2B,Bat3B,BatHR,BatRBI,BatSB,BatCS,BatBB,BatSO,BatIBB,BatHBP,BatSH,BatSF,BatGIDP,FieldG,FieldGS,FieldInnOuts,FieldPO,FieldA,FieldE,FieldDP,FieldPB,FieldWP,FieldSB,FieldCS,FieldZR,PitchW,PitchL,PitchG,PitchGS,PitchCG,PitchSHO,PitchSV,PitchIPouts,PitchH,PitchER,PitchHR,PitchBB,PitchSO,PitchBAOpp,PitchERA,PitchIBB,PitchWP,PitchHBP,PitchBK,PitchBFP,PitchGF,PitchR,PitchSH,PitchSF,PitchGIDP,allStarCount,AllStar_MVP,Babe_Ruth_Award,Cy_Young_Award,Gold_Glove_Award,DH_Award,Pitching_Crown,Relief_Award,ROY_Award,Silver_Slugger,Batting_Crown,World_Series_MVP,AL_MVP,NL_MVP,inducted
meledu01,6,14,1,2,1,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
melenfr01,74,84,4,18,0,0,1,9,0,0,5,14,0,0,0,1,3,29,6,303,109,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
melenjo01,109,25,1,2,1,0,0,0,0,0,1,18,0,0,1,0,0,109,12,662,7,25,3,1,0,0,0,0,0,16,14,109,12,0,0,3,662,197,85,27,60,172,1.25,26.31,15,5,7,3,911,37,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
melenlu01,641,1477,167,366,50,13,9,122,18,16,109,175,7,2,19,9,46,490,331,9754,876,22,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
melesa01,1046,3437,406,916,168,39,80,544,15,14,311,342,0,10,29,9,130,919,128,3351,2076,112,27,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
melhuad01,311,735,76,172,40,1,24,98,1,2,57,193,2,2,2,3,19,229,158,4599,1019,93,6,10,16,0,100,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
melilke01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
melilsk01,1377,5063,590,1316,210,64,22,548,69,65,327,306,0,12,134,0,0,1350,0,0,3463,4503,218,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mellajo01,4,7,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mellobi01,10,36,4,13,3,0,0,5,1,0,3,0,0,0,1,0,0,10,0,0,87,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meloajo01,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,53,1,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,53,11,9,1,11,20,0.39699999999999996,11.05,0,0,1,0,73,6,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meloapa01,130,431,53,109,17,8,3,38,11,0,32,0,0,8,16,0,0,120,0,0,145,22,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meloju01,11,13,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,6,1,69,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meltest01,23,15,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,23,0,0,5,21,0,2,0,0,0,0,0,0,1,23,1,0,0,3,193,79,25,1,20,24,0.32,3.5,0,7,2,0,267,18,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meltobi01,1144,3971,496,1004,162,9,160,591,23,24,479,669,29,44,20,43,94,1028,999,26039,1178,2079,149,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
meltocl01,272,469,28,77,4,2,0,32,0,0,20,108,0,0,51,0,10,272,0,0,45,397,16,15,0,0,0,0,0,86,80,272,179,65,13,16,4361,1446,552,79,431,660,2.04,27.86,0,17,22,1,6159,54,669,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meltoda01,12,9,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,45,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meltoru01,162,208,11,25,7,0,1,14,0,0,3,80,0,0,19,0,0,162,0,0,18,118,9,5,0,0,0,0,0,30,50,162,87,25,6,5,2112,624,283,22,395,363,1.52,31.3,0,22,13,1,3061,47,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
melusmi01,155,414,56,117,24,0,15,75,2,0,68,89,11,5,1,5,9,125,105,2815,728,40,13,7,5,4,78,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
melvibo01,692,1955,174,456,85,6,35,212,4,13,98,396,10,1,21,20,50,639,521,13969,2961,253,24,43,25,112,376,176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
melviti01,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,2,27,0,3,0,0,0,0,0,0,0,0,1,3,2,0,0,0,27,16,11,5,9,8,0.381,11,0,1,1,0,54,0,12,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
menchke01,729,2362,311,632,150,14,89,331,12,6,183,335,15,27,2,23,32,620,569,15193,1108,33,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mendead01,5,7,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,5,5,74,2,2,0,1,0,0,0,0,0,1,3,5,5,0,0,0,74,28,14,7,12,11,0.295,5.11,0,0,2,0,109,0,14,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mendeca01,26,45,3,10,2,0,0,5,0,0,0,12,0,0,0,1,0,9,3,102,28,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mendedo01,72,202,21,37,8,1,3,14,2,2,12,69,3,5,1,1,2,72,60,1574,73,162,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mendejo99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
mendero01,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,140,5,3,0,0,0,0,0,0,0,0,2,45,0,0,0,0,140,34,16,4,25,32,0.817,12.08,3,2,3,0,194,13,16,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mendeyo01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,5,6,0,2,0,0.333,18,0,0,0,0,17,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mendoca01,28,22,6,4,0,0,0,1,0,1,5,6,0,2,0,0,0,6,2,90,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
